month,sales
January,14554513.09
February,14485459.86
March,16620169.17
April,15966589.17
May,16997337.94
June,16609989.94
July,16767182.94
August,17093027.94
September,16037848.94
October,16632662.25
November,16962497.25
December,18978498.48
